author,title,file_path,pub_year,setting_period_start,setting_period_end,primary_cities,map_layer,notes
FrancesBurney,Evelina,FrancesBurney/Evelina.txt,1778,1770,1778,"London;Bristol Hotwells",rocque_1746,"London scenes include Vauxhall and Ranelagh (both valid for period). Marylebone Gardens still open."
FrancesBurney,Cecilia,FrancesBurney/CeciliaVol1.txt,1782,1780,1782,London,horwood_1799,"Written in immediate aftermath of Gordon Riots (1780). London setting. Vauxhall valid; Ranelagh valid; Marylebone closed 1778."
FrancesBurney,Camilla,FrancesBurney/Camilla.txt,1796,1794,1796,"London;Southampton",horwood_1799,"Post-Revolutionary. Almack's valid. Pantheon valid."
FrancesBurney,The Wanderer,FrancesBurney/TheWandererVol1.txt,1814,1793,1802,"London;Sussex;Brighton",horwood_1799,"Set during Revolutionary/Napoleonic period. Ranelagh closed 1803 — any Ranelagh reference would be retrospective."
JaneAusten,Northanger Abbey,JaneAusten/NorthangerAbbey.txt,1817,1798,1799,"Bath;London",harcourt_1794,"Bath setting uses Upper Assembly Rooms (opened 1771). Royal Crescent and Pulteney Bridge both extant."
JaneAusten,Pride and Prejudice,JaneAusten/PrideAndPrejudice.txt,1813,1811,1812,"Hertfordshire;London;Derbyshire",horwood_1799,"London scenes Gracechurch Street (City) and Mayfair."
JaneAusten,Sense and Sensibility,JaneAusten/SenseAndSensibility.txt,1811,1809,1811,"London;Devonshire;Somerset",horwood_1799,"London scenes in Harley Street and Berkeley Street."
JaneAusten,Mansfield Park,JaneAusten/MansfieldPark.txt,1814,1808,1813,"Northamptonshire;London;Portsmouth",horwood_1799,
JaneAusten,Emma,JaneAusten/Emma.txt,1815,1813,1815,Surrey,horwood_1799,"Largely rural; London peripheral."
JaneAusten,Persuasion,JaneAusten/Persuasion.txt,1817,1814,1815,"Somerset;Bath;London",harcourt_1794,"Bath setting post-Ranelagh. Sydney Gardens valid (opened 1795)."
AnnRadcliffe,Castles of Athlin and Dunbayne,AnnRadcliffe/CastlesOfAthlinAndDunbayne.txt,1789,,,Scotland,rocque_1746,"No London/Bath setting. Gothic — remote Highland."
AnnRadcliffe,A Sicilian Romance,AnnRadcliffe/ASicilianRomance.txt,1790,,,Sicily/Italy,rocque_1746,"No English urban setting."
AnnRadcliffe,The Romance of the Forest,AnnRadcliffe/TheRomanceOfTheForest.txt,1791,,,France,horwood_1799,"No English urban setting."
AnnRadcliffe,The Mysteries of Udolpho,AnnRadcliffe/MysteriesOfUdolpho.txt,1794,,,France/Italy,horwood_1799,"No English urban setting."
AnnRadcliffe,The Italian,AnnRadcliffe/TheItalianVol1.txt,1797,,,Italy,horwood_1799,"No English urban setting."
SamuelRichardson,Pamela,SamuelRichardson/Pamela.txt,1740,1739,1740,"Bedfordshire;Lincolnshire;London",rocque_1746,"Some London scenes. Predominantly rural."
SamuelRichardson,Clarissa,SamuelRichardson/ClarissaVol1.txt,1748,1746,1748,London,rocque_1746,"Primarily London. Vauxhall valid. Ranelagh NOT yet open for setting period."
HenryFielding,Tom Jones,HenryFielding/TomJones.txt,1749,1745,1745,"Somerset;London",rocque_1746,"London scenes Covent Garden area. Ranelagh just opened — marginal."
HenryFielding,Joseph Andrews,HenryFielding/JosephAndrewsVol1.txt,1742,1740,1742,"London;road to West Country",rocque_1746,"Ranelagh not yet open for setting period."
HenryFielding,Amelia,HenryFielding/Amelia.txt,1751,1749,1751,London,rocque_1746,"Vauxhall and Ranelagh both valid. Rich London topography."
TobiasSmollett,Roderick Random,TobiasSmollett/RoderickRandom.txt,1748,1739,1748,"London;Bath;abroad",rocque_1746,"Bath pre-Circus and pre-Upper Rooms."
TobiasSmollett,Peregrine Pickle,TobiasSmollett/PeregrinePickle.txt,1751,1748,1751,"London;Bath;France",rocque_1746,"Bath uses Lower Rooms only."
TobiasSmollett,Humphry Clinker,TobiasSmollett/HumphryClinker.txt,1771,1766,1771,"London;Bath;Scotland",rocque_1746,"Bath just before Upper Rooms (opened Oct 1771). Smollett's Bath is pre-transformation."
MariaEdgeworth,Castle Rackrent,MariaEdgeworth/CastleRackrent.txt,1800,1780,1800,Ireland,horwood_1799,"No English urban setting."
HoraceWalpole,The Castle of Otranto,HoraceWalpole/CastleOfOtranto.txt,1764,,,Italy (medieval),rocque_1746,"No contemporary English setting."
MGLewis,The Monk,MGLewis/TheMonk.txt,1796,,,Spain (Madrid),horwood_1799,"No English urban setting."
WilliamBeckford,Vathek,WilliamBeckford/Vathek.txt,1786,,,Arabia (fantasy),horwood_1799,"No English setting."
ElizaHaywood,Love in Excess,ElizaHaywood/LoveInExcess.txt,1719,1715,1720,"London;France",rocque_1746,"Pre-Rocque period. Use Rocque as nearest available."
ClaraReeve,The Old English Baron,ClaraReeve/TheOldEnglishBaron.txt,1778,,,England (medieval),rocque_1746,"No contemporary urban setting."
CharlotteSmith,Emmeline,CharlotteSmith/Emmeline.txt,1788,1786,1788,"London;Wales;France",horwood_1799,
HenryMackenzie,The Man of Feeling,HenryMackenzie/TheManOfFeeling.txt,1771,1769,1771,London,rocque_1746,"London scenes key. Edinburgh peripheral."
FrancesSheridan,Memoirs of Miss Sidney Bidulph,FrancesSheridan/MemoirsOfMissSidneyBidulph.txt,1761,1740,1761,"London;Ireland",rocque_1746,"London setting. Vauxhall valid. Ranelagh valid post-1742."
SamuelRichardson,Sir Charles Grandison Vol 4,SamuelRichardson/SirCharlesGrandison_Vol4.txt,1753,1751,1753,"London;Italy",rocque_1746,"London scenes key to the politeness argument."
