id,name,city,lat,lon,opened,closed,notes,map_layer,tier,enclosure,building_type,material,capacity,hw_ratio
LON001,Vauxhall Spring Gardens,London,51.4882,-0.1228,1661,,Major renovation under Jonathan Tyers 1728-32. Peak popularity 1730s-1790s.,rocque_1746;horwood_1799,2,open,garden,outdoor,vast,0.15
LON002,Ranelagh Gardens,London,51.4871,-0.1677,1742,1803,Chelsea. Rotunda opened 1742. Closed and demolished 1805. Cannot appear in texts pre-1742.,rocque_1746;horwood_1799,5,semi_open,garden,mixed,large,0.20
LON003,Marylebone Gardens,London,51.5209,-0.1491,1650,1778,Closed 1778. Replaced by housing. Cannot appear in texts post-1778.,rocque_1746,2,open,garden,outdoor,large,0.15
LON004,The Pantheon,London,51.5136,-0.1418,1772,,Oxford Street. Burned 1792; rebuilt as theatre 1795. Cannot appear pre-1772.,rocque_1746;horwood_1799,4,enclosed,assembly,brick,large,0.80
LON005,Almack's Assembly Rooms,London,51.5065,-0.1419,1765,,King Street St James's. Later Willis's Rooms. Cannot appear pre-1765.,rocque_1746;horwood_1799,5,enclosed,assembly,brick,medium,1.30
LON006,Drury Lane Theatre,London,51.5121,-0.1199,1663,,Current building opened 1794 after fire. Pre-1794 texts refer to earlier structure.,rocque_1746;horwood_1799,3,enclosed,theatre,brick,large,2.00
LON007,Covent Garden Theatre,London,51.5130,-0.1224,1732,,Burned 1808; rebuilt 1809. Pre-1808 texts refer to earlier structure.,rocque_1746;horwood_1799,3,enclosed,theatre,brick,large,1.00
LON008,King's Theatre Haymarket,London,51.5058,-0.1313,1705,,Opera house. Burned 1789; rebuilt 1790.,rocque_1746;horwood_1799,5,enclosed,theatre,brick,large,0.80
LON009,St James's Park,London,51.5024,-0.1337,,,Stable throughout the period.,rocque_1746;horwood_1799,3,open,park,outdoor,vast,0.10
LON010,Hyde Park,London,51.5073,-0.1657,,,Stable throughout. Rotten Row a key social promenade.,rocque_1746;horwood_1799,3,open,park,outdoor,vast,0.10
LON011,Grosvenor Square,London,51.5120,-0.1519,1725,,Major aristocratic address. Developed 1720s-1730s. Cannot appear pre-1725.,rocque_1746;horwood_1799,5,semi_open,square,brick,n_a,0.15
LON012,Hanover Square,London,51.5121,-0.1444,1714,,Developed from 1714. Key early Georgian address.,rocque_1746;horwood_1799,5,semi_open,square,brick,n_a,0.20
LON013,Berkeley Square,London,51.5095,-0.1443,1739,,Developed 1730s-1740s. Gardens laid out 1739.,rocque_1746;horwood_1799,5,semi_open,square,brick,n_a,0.15
LON014,St James's Square,London,51.5073,-0.1345,1660,,Aristocratic address stable throughout.,rocque_1746;horwood_1799,5,semi_open,square,brick,n_a,0.15
LON015,The Strand,London,51.5116,-0.1178,,,Major commercial and social thoroughfare. Stable throughout.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.20
LON016,Covent Garden Piazza,London,51.5129,-0.1228,1630,,Market and social space stable throughout.,rocque_1746;horwood_1799,2,semi_open,market,stone,large,0.15
LON017,Spring Gardens (Charing Cross),London,51.5071,-0.1282,,,Older pleasure garden near Charing Cross. Distinct from Vauxhall.,rocque_1746,2,open,garden,outdoor,medium,0.20
LON018,White's Club,London,51.5064,-0.1404,1693,,St James's Street. Oldest gentlemen's club. Stable throughout.,rocque_1746;horwood_1799,5,enclosed,assembly,brick,small,1.30
LON019,Boodle's Club,London,51.5064,-0.1407,1762,,St James's Street. Cannot appear pre-1762.,rocque_1746;horwood_1799,5,enclosed,assembly,brick,small,1.30
LON020,Brooks's Club,London,51.5064,-0.1408,1764,,St James's Street. Cannot appear pre-1764.,rocque_1746;horwood_1799,5,enclosed,assembly,brick,small,1.30
LON021,The Tower of London,London,51.5081,-0.0759,,,Stable landmark throughout.,rocque_1746;horwood_1799,3,semi_open,landmark,stone,large,0.30
LON022,St Paul's Cathedral,London,51.5138,-0.0984,1710,,Wren's cathedral completed 1710.,rocque_1746;horwood_1799,3,enclosed,church,stone,large,0.30
LON023,Westminster Abbey,London,51.4993,-0.1273,,,Stable landmark throughout.,rocque_1746;horwood_1799,3,enclosed,church,stone,large,0.35
LON024,Portman Square,London,51.5192,-0.1588,1764,,Developed from 1764. Home House (notable address) 1775.,rocque_1746;horwood_1799,4,semi_open,square,brick,n_a,0.15
LON025,Portland Place,London,51.5216,-0.1436,1778,,Developed from 1778. Cannot appear in earlier texts.,horwood_1799,4,open,street,brick,n_a,0.45
LON026,Bedford Square,London,51.5185,-0.1267,1775,,Bloomsbury. Developed 1775. Cannot appear pre-1775.,rocque_1746;horwood_1799,4,semi_open,square,brick,n_a,0.20
BAT001,Lower Assembly Rooms (Harrison's),Bath,51.3812,-2.3587,1708,1820,Also known as Lindsey's Rooms. The rooms in pre-1771 Bath fiction. Burned 1820.,wood_1736;harcourt_1794,4,enclosed,assembly,stone,medium,2.00
BAT002,Upper Assembly Rooms (New Rooms),Bath,51.3851,-2.3637,1771,,Opened October 1771. These are Austen's rooms in Northanger Abbey. Cannot appear pre-1771.,harcourt_1794,4,enclosed,assembly,stone,medium,1.50
BAT003,The Pump Room,Bath,51.3814,-2.3594,1706,,Current building 1796. Earlier versions from 1706. Major social hub throughout.,wood_1736;harcourt_1794,4,enclosed,assembly,stone,medium,0.50
BAT004,The Circus,Bath,51.3844,-2.3633,1768,,Designed by John Wood the Elder 1754; completed after his death 1768. Cannot appear pre-1768.,wood_1736;harcourt_1794,5,semi_open,square,stone,n_a,0.70
BAT005,Royal Crescent,Bath,51.3848,-2.3664,1774,,Built 1767-1774. Cannot appear in texts set before construction.,harcourt_1794,5,semi_open,square,stone,n_a,0.15
BAT006,Pulteney Bridge,Bath,51.3813,-2.3556,1774,,Designed Robert Adam. Cannot appear pre-1774.,harcourt_1794,3,semi_open,misc,stone,n_a,1.80
BAT007,Sydney Gardens,Bath,51.3841,-2.3503,1795,,Pleasure gardens. Austen's favourite walk. Cannot appear pre-1795.,harcourt_1794,3,open,garden,outdoor,medium,0.20
BAT008,Queen Square,Bath,51.3821,-2.3630,1736,,John Wood the Elder. Completed 1736. Key address in mid-century Bath fiction.,wood_1736;harcourt_1794,4,semi_open,square,stone,n_a,0.20
BAT009,Milsom Street,Bath,51.3837,-2.3620,1761,,Principal shopping street from 1761. Cannot appear pre-1761.,wood_1736;harcourt_1794,3,open,street,stone,n_a,1.40
BAT010,Bath Abbey,Bath,51.3814,-2.3591,,,Stable landmark throughout.,wood_1736;harcourt_1794,3,enclosed,church,stone,medium,0.40
BAT011,North Parade,Bath,51.3807,-2.3582,1740,,Promenade. Developed 1740. Smollett's characters walk here.,wood_1736;harcourt_1794,3,open,street,stone,n_a,1.00
BAT012,South Parade,Bath,51.3800,-2.3576,1743,,Developed 1743. Cannot appear pre-1743.,wood_1736;harcourt_1794,3,open,street,stone,n_a,1.00
LON027,Bond Street,London,51.5133,-0.1458,,,Old and New Bond Street. Principal shopping and fashionable promenade of the West End. Stable throughout.,rocque_1746;horwood_1799,4,open,street,mixed,n_a,1.60
LON028,Pall Mall,London,51.5069,-0.1338,,,Major street between St James's and Charing Cross. Clubs galleries print shops. Stable throughout.,rocque_1746;horwood_1799,4,open,street,mixed,n_a,0.80
LON029,Piccadilly,London,51.5090,-0.1440,,,Major thoroughfare from Piccadilly Circus to Hyde Park Corner. Stable throughout.,rocque_1746;horwood_1799,4,open,street,mixed,n_a,0.90
LON030,St James's Street,London,51.5054,-0.1363,,,Gentlemen's clubs wine merchants. Heart of St James's. Stable throughout.,rocque_1746;horwood_1799,5,open,street,mixed,n_a,1.30
LON031,Fleet Street,London,51.5138,-0.1072,,,Booksellers printers and lawyers. Legal and literary thoroughfare. Stable throughout.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.30
LON032,Cheapside,London,51.5147,-0.0940,,,Principal City commercial street. Drapers mercers goldsmiths. Stable throughout.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.10
LON033,Oxford Street,London,51.5154,-0.1415,,,Known as Oxford Road pre-c.1740. Shopping street from 1760s. The Pantheon opened here 1772.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,0.80
LON034,Ludgate Hill,London,51.5136,-0.1013,,,City booksellers and publishers near St Paul's. Stable throughout.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.40
LON035,Cornhill,London,51.5135,-0.0882,,,City banking and insurance district. Royal Exchange nearby. Stable throughout.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.30
LON036,Charing Cross,London,51.5074,-0.1278,,,Junction of Strand/Whitehall/Northumberland Avenue. Stable throughout.,rocque_1746;horwood_1799,2,open,street,mixed,n_a,0.70
LON037,Leicester Fields (Square),London,51.5107,-0.1310,,,Known as Leicester Fields until c.1670. Fashionable early 18c; declined mid-century.,rocque_1746;horwood_1799,2,semi_open,square,mixed,n_a,0.15
LON038,Cavendish Square,London,51.5165,-0.1462,1717,,Developed from 1717. Key address for upper-middle professional ranks.,rocque_1746;horwood_1799,4,semi_open,square,brick,n_a,0.20
LON039,Harley Street,London,51.5219,-0.1480,1757,,Developed from 1757. Fashionable medical and professional address.,rocque_1746;horwood_1799,4,open,street,brick,n_a,1.10
LON040,Brook Street,London,51.5124,-0.1478,1720,,Mayfair. Developed 1720s. Stable thereafter.,rocque_1746;horwood_1799,4,open,street,brick,n_a,1.20
LON054,Don Saltero's Coffee House,London,51.4841,-0.1683,1695,1799,Cheyne Walk Chelsea. Curiosity cabinet and coffee house. Frequented by Smollett. Proposed by the Branghtons in Evelina as a vulgar excursion.,rocque_1746,2,enclosed,coffeehouse,timber,small,0.70
LON055,White-Conduit House,London,51.5300,-0.1062,1745,1849,Islington. Pleasure garden and cricket ground. Lower-middling social register.,rocque_1746;horwood_1799,2,open,garden,outdoor,medium,0.25
LON056,Bagnigge Wells,London,51.5276,-0.1134,1759,1841,Clerkenwell. Mineral spring gardens. Popular with tradespeople and servants.,rocque_1746;horwood_1799,2,open,garden,outdoor,medium,0.25
LON057,Mother Red Cap's,London,51.5404,-0.1421,,,Camden Town tavern. Lower-class excursion destination. Evelina's vulgar alternatives cluster.,rocque_1746;horwood_1799,1,enclosed,assembly,timber,small,1.00
LON041,Will's Coffee House,London,51.5126,-0.1233,1689,1735,Russell Street Covent Garden. Dryden's house. Literary centre 1680s-1720s. Declined after Addison.,rocque_1746,3,enclosed,coffeehouse,timber,small,0.70
LON042,Button's Coffee House,London,51.5128,-0.1238,1712,1752,Russell Street Covent Garden. Addison and Steele's house. Whig literary centre.,rocque_1746,3,enclosed,coffeehouse,timber,small,0.70
LON043,Tom's Coffee House,London,51.5124,-0.1228,1700,,Russell Street Covent Garden. Subscription house. Active through to 1780s.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,0.70
